sample,step,block_states,solved
0,0,"[2, 2, 1, 2, 1, 2, 4, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 2, 3, 1, 1, 2, 2, 0, 1, 2, 0, 2, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 3, 0]",True
0,1,"[2, 2, 1, 2, 1, 2, 4, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 2, 3, 2, 1, 2, 2, 0, 1, 2, 0, 2, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 3, 0]",True
0,2,"[2, 2, 1, 2, 1, 2, 4, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 2, 3, 2, 1, 2, 2, 0, 1, 2, 0, 2, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 4, 0]",True
0,3,"[2, 2, 1, 2, 1, 2, 4, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 2, 3, 2, 1, 2, 3, 0, 1, 2, 0, 2, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 4, 0]",True
0,4,"[2, 2, 1, 2, 1, 2, 4, 1, 1, 1, 0, 1, 2, 1, 1, 0, 1, 2, 3, 2, 1, 2, 3, 0, 1, 2, 0, 2, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 4, 0]",True
0,5,"[2, 2, 1, 2, 1, 2, 4, 1, 1, 1, 0, 1, 2, 1, 1, 0, 1, 2, 3, 2, 1, 2, 3, 0, 1, 2, 0, 2, 1, 1, 4, 3, 1, 1, 2, 1, 1, 1, 4, 0]",True
0,6,"[2, 2, 1, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 3, 2, 1, 2, 3, 0, 1, 2, 0, 2, 1, 1, 4, 3, 1, 1, 2, 1, 1, 1, 4, 0]",True
0,7,"[2, 2, 1, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 3, 2, 1, 2, 3, 0, 1, 2, 0, 0, 1, 1, 4, 3, 1, 1, 2, 1, 1, 1, 4, 0]",True
0,8,"[2, 2, 0, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 3, 2, 1, 2, 3, 0, 1, 2, 0, 0, 1, 1, 4, 3, 1, 1, 2, 1, 1, 1, 4, 0]",True
0,9,"[2, 2, 0, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 2, 2, 1, 2, 3, 0, 1, 2, 0, 0, 1, 1, 4, 3, 1, 1, 2, 1, 1, 1, 4, 0]",True
0,10,"[2, 2, 0, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 2, 2, 1, 2, 3, 2, 1, 2, 0, 0, 1, 1, 4, 3, 1, 1, 2, 1, 1, 1, 4, 0]",True
0,11,"[2, 2, 0, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 2, 2, 1, 2, 3, 2, 1, 2, 0, 0, 1, 1, 4, 3, 1, 1, 2, 1, 1, 1, 3, 1]",True
0,12,"[2, 2, 0, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 2, 1, 2, 3, 2, 1, 2, 0, 0, 1, 1, 4, 3, 1, 1, 2, 1, 1, 1, 3, 1]",True
0,13,"[2, 2, 0, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 2, 1, 2, 3, 2, 1, 2, 0, 0, 1, 1, 4, 3, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,14,"[2, 2, 0, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 3, 2, 1, 2, 0, 0, 1, 1, 4, 3, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,15,"[2, 2, 0, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 2, 2, 1, 2, 0, 0, 1, 1, 4, 3, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,16,"[2, 2, 0, 2, 1, 2, 4, 1, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 2, 2, 1, 2, 0, 0, 1, 1, 3, 3, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,17,"[2, 2, 0, 2, 1, 2, 4, 2, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 2, 2, 1, 2, 0, 0, 1, 1, 3, 3, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,18,"[2, 2, 0, 2, 1, 2, 4, 2, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 2, 2, 1, 2, 0, 0, 1, 1, 3, 3, 1, 1, 1, 0, 1, 1, 4, 1]",True
0,19,"[2, 2, 0, 2, 1, 2, 4, 2, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 2, 2, 1, 2, 0, 0, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 1]",True
0,20,"[2, 2, 0, 2, 1, 2, 4, 2, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 3, 2, 1, 2, 0, 0, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 1]",True
0,21,"[2, 2, 1, 2, 1, 2, 4, 2, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 3, 2, 1, 2, 0, 0, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 1]",True
0,22,"[2, 2, 1, 2, 1, 2, 4, 2, 1, 1, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 3, 2, 1, 2, 0, 2, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 1]",True
0,23,"[2, 2, 1, 2, 1, 2, 4, 2, 1, 1, 0, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 3, 2, 1, 2, 0, 2, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 1]",True
0,24,"[2, 2, 1, 2, 1, 2, 4, 2, 1, 1, 0, 1, 2, 1, 3, 0, 1, 2, 2, 0, 1, 2, 3, 2, 1, 2, 0, 2, 1, 1, 3, 1, 1, 1, 0, 0, 1, 1, 4, 1]",True
0,25,"[2, 2, 1, 2, 1, 2, 4, 2, 1, 1, 0, 1, 2, 1, 3, 0, 1, 2, 1, 0, 1, 2, 3, 2, 1, 2, 0, 2, 1, 1, 3, 1, 1, 1, 0, 0, 1, 1, 4, 1]",True
0,26,"[2, 2, 1, 2, 1, 2, 4, 2, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 0, 1, 2, 3, 2, 1, 2, 0, 2, 1, 1, 3, 1, 1, 1, 0, 0, 1, 1, 4, 1]",True
0,27,"[2, 2, 1, 2, 1, 2, 4, 2, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 0, 1, 2, 3, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 4, 1]",True
0,28,"[2, 2, 1, 2, 1, 2, 4, 2, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 0, 1, 2, 3, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 3, 1]",True
0,29,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 0, 1, 2, 3, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 3, 1]",True
0,30,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 0, 1, 2, 4, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 3, 1]",True
0,31,"[2, 2, 2, 2, 1, 2, 4, 0, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 0, 1, 2, 4, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 3, 1]",True
0,32,"[2, 2, 2, 2, 1, 2, 4, 0, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 2, 1, 2, 4, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 3, 1]",True
0,33,"[2, 2, 2, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 2, 1, 2, 4, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 3, 1]",True
0,34,"[2, 2, 2, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 2, 1, 2, 4, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,35,"[2, 2, 2, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,36,"[2, 2, 2, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,37,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 3, 1]",True
0,38,"[2, 2, 1, 2, 1, 2, 4, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 4, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 3, 3]",True
